diet_group,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid
fish,-0.316757343257203,-0.4030996866357636,0.01643867677808607,-0.26266445226124274,-0.3501392373997453,-0.40704933173366575,-0.12174266166550798,0.14122299758510093,-0.2815452331063273,-0.20680827504207863,-0.3362675511496266,0.07991262611537707,-0.09899037235642072,-0.19162098526179427,-0.3085758895199091,-0.005799637486504177,0.2535638266588725,-0.11542502929283252
meat,0.32352904614072836,0.19858246408197086,0.1275229814312586,0.39491073929969944,0.3588038011576632,0.31069375651433334,0.22391628180564,0.32737858824622457,0.4079494487739858,0.12810183186316476,0.1326437978990017,-0.14751874016804103,0.11710914398470779,0.16885680438848216,0.11569751756198648,0.09864191129624551,0.09229049278386699,0.14644439332314282
meat100,1.789206321524679,1.602075943467242,1.0681196349489992,1.7805292175855307,1.7825059101225804,1.8374822624151166,1.119166855363302,1.020078795681505,1.7634350197142854,1.6250713222827904,1.403283710744173,0.2354262193222795,1.577468712316536,1.5260014197343552,1.667229712713658,0.6052494947261137,0.4261519384175845,1.6246609800963718
meat50,-0.2358259574959312,-0.2814275167298887,-0.24546094024203535,-0.19541799193412143,-0.17116108372059385,-0.2835330270656012,-0.12315820005344295,-0.02903273348950251,-0.18016253315301026,-0.2581547074420496,-0.2858962789266467,-0.171077867683737,-0.21961709165333765,-0.1919623143207979,-0.30415062394805364,-0.040404658208448865,0.046243372257944164,-0.1906526904026595
vegan,-1.0644379487635809,-0.675512240300313,-0.6451822726759047,-1.1405606948161797,-1.1706233892888975,-0.9164656240438468,-0.9375570053551169,-0.9411253489846069,-1.2427689378578355,-0.9343742651258468,-0.5393523215610571,0.05867858046191639,-0.9062681456484626,-1.080746414622103,-0.7609232263578506,-0.6944936514709315,-0.4772474598730423,-1.2150069443455502
veggie,-0.49571411814869043,-0.4406189638832484,-0.3214380802404043,-0.5767968178736854,-0.44938600087100705,-0.5411280360863346,-0.1606252700948724,-0.5185222990387208,-0.4669077643710959,-0.35383590653597957,-0.37441135700584405,-0.05542081804779392,-0.4697022466430219,-0.2305285099181434,-0.4092774904498286,0.03680654114352428,-0.3410021702452254,-0.25002070937847237
